page,section,item,field,value
globalVendors,company,2,label,Founded
globalVendors,company,2,value,March 2021
globalVendors,company,3,label,Base
globalVendors,company,3,value,Yokohama, Japan
globalVendors,company,4,label,Representative Director
globalVendors,company,4,value,Kazuma Tamura
globalVendors,company,5,label,Operation
globalVendors,company,5,value,Bilingual Japanese-English
globalVendors,contactCta,main,eyebrow,Contact
globalVendors,contactCta,main,title,Tell us your challenge.
globalVendors,contactCta,main,copy,"Starting from what you want to solve, we find the best options together."
globalVendors,contactCta,main,buttonLabel,Contact us
globalVendors,contactCta,main,buttonHref,/contact
globalVendors,intro,main,lead,"Starting from the business or IT challenge you want solved, we propose the optimal product and configuration from the world's options."
serviceHub,hero,main,eyebrow,OUR BUSINESS
serviceHub,hero,main,message,"Through two forms, we work to restore the fair value everyone deserves."
serviceHub,left,main,tag,GLOBAL GTM PARTNER
serviceHub,left,main,label,Global GTM Partner
serviceHub,left,main,sub,"The world's technology, to the right market — accelerating the future through co-creation."
serviceHub,left,main,href,/global-vendors
serviceHub,left,main,image,/hub-gtm.png
serviceHub,left,main,cta,Explore
serviceHub,right,main,tag,MOBILITY BUSINESS
serviceHub,right,main,label,Mobility
serviceHub,right,main,sub,"Expanding what movement can be, building a comfortable future in mobility."
serviceHub,right,main,href,/service/automotive
serviceHub,right,main,image,/hub-mobility.png
serviceHub,right,main,cta,Explore
